gadm_id0_1	gadm_id1_1	gadm_id0_2	gadm_id1_2	n
136	3	226	65	2
136	3	247	2	3
136	4	35	2	1
136	4	106	8	2
136	4	106	10	1
136	4	106	11	1
136	4	106	33	4
136	4	136	1	51
136	4	136	2	5
136	4	136	3	2
136	4	136	5	8
136	4	136	6	6
136	4	136	7	6
136	4	136	8	4
136	4	136	9	22
136	4	136	10	6
136	4	136	11	2
136	4	136	12	133
136	4	136	13	2
136	4	154	14	1
136	4	177	40	1
136	4	177	47	1
136	4	203	0	3
136	4	226	35	1
136	5	35	2	1
136	5	106	12	1
136	5	136	1	16
136	5	136	2	11
136	5	136	3	6
136	5	136	4	8
136	5	136	6	7
136	5	136	7	11
136	5	136	8	4
136	5	136	9	18
136	5	136	10	5
136	5	136	11	6
136	5	136	12	170
136	5	136	13	7
136	5	177	47	1
136	5	203	0	8
136	5	226	3	2
136	5	226	45	1
136	6	106	8	2
136	6	106	10	4
136	6	106	12	1
136	6	106	13	1
136	6	106	31	1
136	6	106	33	2
136	6	136	1	50
136	6	136	2	7
136	6	136	3	13
136	6	136	4	6
136	6	136	5	7
136	6	136	7	8
136	6	136	8	5
136	6	136	9	36
136	6	136	10	5
136	6	136	11	3
136	6	136	12	245
136	6	136	13	10
136	6	154	7	1
136	6	177	47	1
136	6	177	51	1
136	6	203	0	11
136	6	226	9	2
136	7	35	2	2
136	7	106	1	1
136	7	106	2	1
136	7	106	3	1
136	7	106	8	3
136	7	106	10	2
136	7	106	12	2
136	7	106	31	1
136	7	136	1	22
136	7	136	2	4
136	7	136	3	4
136	7	136	4	6
136	7	136	5	11
136	7	136	6	8
136	7	136	8	6
136	7	136	9	29
136	7	136	10	3
136	7	136	11	8
136	7	136	12	143
136	7	136	13	6
136	7	177	47	2
136	7	203	0	10
136	7	226	3	7
136	7	226	10	1
136	7	226	16	2
136	7	226	17	1
136	7	226	18	1
136	7	226	45	2
136	7	226	53	1
136	7	226	54	1
136	7	247	4	1
136	8	106	11	2
136	8	106	31	1
136	8	136	1	38
136	8	136	2	5
136	8	136	3	1
136	8	136	4	4
136	8	136	5	4
136	8	136	6	5
136	8	136	7	6
136	8	136	9	34
136	8	136	11	1
136	8	136	12	78
136	8	136	13	3
136	9	35	2	3
136	9	39	16	6
136	9	39	21	2
136	9	106	1	7
136	9	106	2	2
136	9	106	4	3
136	9	106	7	1
136	9	106	8	12
136	9	106	10	8
136	9	106	12	3
136	9	106	18	1
136	9	106	24	1
136	9	106	26	1
136	9	106	28	2
136	9	106	29	1
136	9	106	30	4
136	9	106	31	1
136	9	106	32	2
136	9	106	33	2
136	9	123	13	1
136	9	136	1	48
136	9	136	2	29
136	9	136	3	18
136	9	136	4	22
136	9	136	5	18
136	9	136	6	36
136	9	136	7	29
136	9	136	8	34
136	9	136	10	6
136	9	136	11	9
136	9	136	12	387
136	9	136	13	35
136	9	154	14	3
136	9	177	13	1
136	9	177	17	1
136	9	177	18	1
136	9	177	25	3
136	9	177	28	1
136	9	177	36	2
136	9	177	40	2
136	9	177	43	1
136	9	177	47	11
136	9	177	52	1
136	9	177	82	1
136	9	203	0	25
136	9	226	3	29
136	9	226	9	3
136	9	226	10	1
136	9	226	16	4
136	9	226	17	1
136	9	226	26	2
136	9	226	30	1
136	9	226	35	1
136	9	226	36	3
136	9	226	41	1
136	9	226	45	1
136	9	226	51	1
136	9	226	65	64
136	9	226	73	1
136	9	247	1	2
136	9	247	2	2
136	9	247	4	2
136	9	247	6	2
136	10	35	2	3
136	10	39	16	3
136	10	106	1	1
136	10	106	2	2
136	10	106	6	2
136	10	106	8	10
136	10	106	10	6
136	10	106	11	4
136	10	106	12	2
136	10	106	13	1
136	10	106	15	1
136	10	106	18	1
136	10	106	24	2
136	10	106	32	3
136	10	123	8	1
136	10	136	1	17
136	10	136	2	2
136	10	136	3	4
136	10	136	4	6
136	10	136	5	5
136	10	136	6	5
136	10	136	7	3
136	10	136	9	6
136	10	136	11	5
136	10	136	12	107
136	10	136	13	3
136	10	154	14	1
136	10	177	17	1
136	10	177	24	3
136	10	177	36	2
136	10	177	47	8
136	10	203	0	9
136	10	226	3	13
136	10	226	9	4
136	10	226	10	1
136	10	226	16	1
136	10	226	35	1
136	10	226	45	1
136	10	247	1	2
136	10	247	2	2
136	10	247	4	1
136	11	106	7	1
136	11	106	8	6
136	11	106	10	2
136	11	106	12	3
136	11	106	13	1
136	11	106	15	1
136	11	106	33	1
136	11	123	13	1
136	11	136	1	4
136	11	136	2	3
136	11	136	3	3
136	11	136	4	2
136	11	136	5	6
136	11	136	6	3
136	11	136	7	8
136	11	136	8	1
136	11	136	9	9
136	11	136	10	5
136	11	136	12	52
136	11	136	13	1
136	11	154	14	2
136	11	177	40	2
136	11	177	46	1
136	11	177	47	7
136	11	177	59	1
136	11	203	0	8
136	11	226	3	11
136	11	226	16	1
136	11	226	65	1
136	11	247	1	1
136	11	247	2	2
136	12	35	2	26
136	12	39	13	2
136	12	39	16	14
136	12	39	21	2
136	12	106	1	15
136	12	106	2	2
136	12	106	3	3
136	12	106	4	10
136	12	106	5	2
136	12	106	6	2
136	12	106	8	89
136	12	106	10	87
136	12	106	11	16
136	12	106	12	29
136	12	106	13	6
136	12	106	14	2
136	12	106	15	2
136	12	106	16	4
136	12	106	17	1
136	12	106	18	4
136	12	106	20	1
136	12	106	21	3
136	12	106	22	2
136	12	106	24	11
136	12	106	26	1
136	12	106	27	2
136	12	106	29	2
136	12	106	30	14
136	12	106	31	5
136	12	106	32	19
136	12	106	33	40
136	12	123	13	7
136	12	136	1	511
136	12	136	2	146
136	12	136	3	75
136	12	136	4	133
136	12	136	5	170
136	12	136	6	245
136	12	136	7	143
136	12	136	8	78
136	12	136	9	387
136	12	136	10	107
136	12	136	11	52
136	12	136	13	199
136	12	154	8	2
136	12	154	9	1
136	12	154	14	10
136	12	177	5	1
136	12	177	13	1
136	12	177	16	1
136	12	177	17	2
136	12	177	24	7
136	12	177	25	6
136	12	177	28	4
136	12	177	36	1
136	12	177	37	1
136	12	177	40	5
136	12	177	43	1
136	12	177	46	2
136	12	177	47	105
136	12	177	51	2
136	12	177	52	1
136	12	177	53	1
136	12	177	59	1
136	12	177	62	1
136	12	177	70	1
136	12	177	82	3
136	12	203	0	366
136	12	226	3	218
136	12	226	9	17
136	12	226	10	2
136	12	226	11	2
136	12	226	16	12
136	12	226	18	2
136	12	226	23	1
136	12	226	26	7
136	12	226	28	2
136	12	226	30	1
136	12	226	35	11
136	12	226	36	24
136	12	226	38	1
136	12	226	41	3
136	12	226	43	1
136	12	226	45	12
136	12	226	46	2
136	12	226	51	1
136	12	226	53	1
136	12	226	56	1
136	12	226	65	25
136	12	226	66	2
136	12	226	68	3
136	12	226	71	1
136	12	247	1	9
136	12	247	2	26
