gadm_id_0	gadm_id_1	gadm_id_2	n
226	47	601	3
226	47	602	1
226	48	604	2
226	48	605	147
226	49	607	2
226	49	608	3
226	49	609	16
226	50	616	1
226	50	619	15
226	51	626	18
226	52	627	2
226	52	630	5
226	52	632	38
226	52	634	1
226	53	642	70
226	54	653	16
226	54	660	1
226	55	665	1
226	55	670	23
226	56	681	76
226	56	683	6
226	57	695	67
226	58	700	10
226	59	703	3
226	60	709	27
226	61	720	1
226	61	721	3
226	62	731	1
226	62	734	16
226	63	749	4
226	65	754	21
226	65	755	1001
226	65	759	2011
226	65	766	3
226	66	771	3
226	66	772	12
226	67	782	8
226	67	784	1
226	67	787	2
226	68	792	7
226	68	798	3
226	68	800	51
226	68	801	2
226	68	802	4
226	69	816	65
226	69	822	2
226	70	824	6
226	70	826	3
226	70	827	125
226	70	828	43
226	70	832	2
226	71	835	1
226	71	836	59
226	71	840	1
226	72	847	4
226	72	849	6
226	73	863	427
226	73	870	18
226	73	874	25
226	74	882	72
226	74	886	1
226	75	898	1
226	76	905	1
226	76	906	39
226	77	916	23
226	77	919	2
226	78	920	2
226	78	927	1
247	1	1	15
247	1	2	18
247	1	3	6
247	1	4	14
247	1	5	294
247	1	6	5
247	1	7	1
247	1	8	2
247	1	9	41
247	1	10	894
247	1	11	20
247	1	12	39
247	1	13	15
247	2	14	42
247	2	15	18
247	2	16	94
247	2	17	30
247	2	18	6151
247	2	19	4
247	2	20	6
247	2	21	4
247	2	22	6
247	2	23	3
247	2	24	45
247	3	25	7
247	3	27	1
247	3	28	2
247	3	29	4
247	3	30	18
247	3	31	15
247	3	32	5
247	3	33	122
247	3	34	6
247	3	35	48
247	4	36	12
247	4	37	16
247	4	38	9
247	4	40	41
247	4	41	2358
247	4	42	4
247	4	43	1
247	5	44	5
247	5	45	183
247	5	46	26
247	5	47	2
247	5	48	316
247	5	49	11
247	6	50	142
247	6	51	88
247	6	52	203
247	6	53	4
247	6	54	12
247	6	55	9
247	7	59	5
247	8	60	7
247	8	62	5
247	8	64	64
			11225
