gadm_id_0	gadm_id_1	year	n
106	20	2008	2
106	20	2009	1
106	20	2010	3
106	20	2011	3
106	20	2012	3
106	20	2013	6
106	20	2014	5
106	21	2004	5
106	21	2005	3
106	21	2006	17
106	21	2007	8
106	21	2008	9
106	21	2009	14
106	21	2010	12
106	21	2011	22
106	21	2012	25
106	21	2013	29
106	21	2014	33
106	22	2004	9
106	22	2005	15
106	22	2006	9
106	22	2007	5
106	22	2008	7
106	22	2009	15
106	22	2010	14
106	22	2011	9
106	22	2012	11
106	22	2013	19
106	22	2014	20
106	23	2004	1
106	23	2005	2
106	23	2006	8
106	23	2007	14
106	23	2008	18
106	23	2009	11
106	23	2010	9
106	23	2011	13
106	23	2012	12
106	23	2013	18
106	23	2014	10
106	24	2004	2
106	24	2005	4
106	24	2006	2
106	24	2007	1
106	24	2008	8
106	24	2009	15
106	24	2010	19
106	24	2011	13
106	24	2012	22
106	24	2013	24
106	24	2014	23
106	25	2008	1
106	25	2014	1
106	26	2004	8
106	26	2005	13
106	26	2006	15
106	26	2007	16
106	26	2008	22
106	26	2009	30
106	26	2010	27
106	26	2011	46
106	26	2012	51
106	26	2013	60
106	26	2014	105
106	27	2004	1
106	27	2005	3
106	27	2006	2
106	27	2007	7
106	27	2008	6
106	27	2009	13
106	27	2010	18
106	27	2011	13
106	27	2012	7
106	27	2013	9
106	27	2014	17
106	28	2004	3
106	28	2005	1
106	28	2006	4
106	28	2007	2
106	28	2008	4
106	28	2009	6
106	28	2010	2
106	28	2011	7
106	28	2012	10
106	28	2013	9
106	28	2014	8
106	29	2004	6
106	29	2005	8
106	29	2006	10
106	29	2007	12
106	29	2008	10
106	29	2009	6
106	29	2010	14
106	29	2011	19
106	29	2012	20
106	29	2013	33
106	29	2014	28
106	30	2004	7
106	30	2005	4
106	30	2006	8
106	30	2007	6
106	30	2008	6
106	30	2009	23
106	30	2010	30
106	30	2011	23
106	30	2012	26
106	30	2013	47
106	30	2014	51
106	31	2004	2
106	31	2005	3
106	31	2006	3
106	31	2007	2
106	31	2008	7
106	31	2009	7
106	31	2010	6
106	31	2011	9
106	31	2012	7
106	31	2013	25
106	31	2014	23
106	32	2005	15
106	32	2006	15
106	32	2007	13
106	32	2008	16
106	32	2009	20
106	32	2010	17
106	32	2011	33
106	32	2012	39
106	32	2013	44
106	32	2014	51
106	33	2000	1
106	33	2001	1
106	33	2004	33
106	33	2005	29
106	33	2006	54
106	33	2007	61
106	33	2008	74
106	33	2009	85
106	33	2010	105
106	33	2011	127
106	33	2012	139
106	33	2013	191
106	33	2014	197
123	1	2009	1
123	4	2005	3
123	4	2006	1
123	4	2008	1
123	4	2009	1
123	4	2012	2
123	4	2013	2
123	6	2010	1
123	6	2011	3
123	6	2013	2
123	7	2007	1
123	7	2011	1
123	8	2004	1
123	8	2006	2
123	8	2007	1
123	8	2008	3
123	8	2009	3
123	8	2010	5
123	8	2011	4
123	8	2012	3
123	8	2013	5
123	8	2014	9
123	11	2007	1
123	11	2013	1
123	12	2004	3
123	12	2005	1
123	12	2006	3
123	12	2007	2
123	12	2010	2
123	12	2011	2
123	12	2012	5
123	12	2013	5
123	12	2014	6
123	13	2003	1
123	13	2004	22
123	13	2005	28
123	13	2006	34
123	13	2007	32
123	13	2008	53
123	13	2009	54
123	13	2010	72
123	13	2011	96
123	13	2012	114
123	13	2013	109
123	13	2014	94
123	14	2010	1
123	15	2012	1
123	15	2013	1
123	16	2012	1
136	1	2003	2
136	1	2004	95
136	1	2005	120
136	1	2006	141
136	1	2007	206
136	1	2008	345
136	1	2009	371
136	1	2010	436
136	1	2011	679
136	1	2012	1139
136	1	2013	1355
136	1	2014	1427
136	2	2004	15
136	2	2005	13
136	2	2006	30
136	2	2007	29
136	2	2008	42
136	2	2009	61
136	2	2010	76
136	2	2011	112
136	2	2012	150
136	2	2013	105
136	2	2014	121
136	3	2004	11
136	3	2005	13
136	3	2006	26
136	3	2007	24
136	3	2008	46
136	3	2009	35
136	3	2010	47
136	3	2011	56
136	3	2012	55
136	3	2013	52
136	3	2014	56
136	4	2003	1
136	4	2004	26
136	4	2005	35
136	4	2006	54
136	4	2007	66
136	4	2008	97
136	4	2009	124
136	4	2010	89
136	4	2011	145
136	4	2012	183
136	4	2013	265
136	4	2014	236
136	5	2004	7
136	5	2005	11
136	5	2006	28
136	5	2007	17
136	5	2008	44
136	5	2009	42
136	5	2010	46
136	5	2011	69
136	5	2012	100
136	5	2013	107
136	5	2014	113
136	6	2004	4
136	6	2005	5
136	6	2006	21
136	6	2007	34
136	6	2008	61
136	6	2009	90
136	6	2010	120
136	6	2011	165
136	6	2012	222
136	6	2013	265
136	6	2014	233
136	7	2004	21
136	7	2005	19
136	7	2006	28
136	7	2007	51
136	7	2008	86
136	7	2009	99
136	7	2010	107
136	7	2011	167
136	7	2012	264
136	7	2013	264
136	7	2014	329
136	8	2004	2
136	8	2005	6
136	8	2006	19
136	8	2007	44
136	8	2008	64
136	8	2009	60
136	8	2010	45
136	8	2011	89
136	8	2012	263
136	8	2013	311
136	8	2014	227
136	9	2000	2
136	9	2001	8
136	9	2002	3
136	9	2003	8
136	9	2004	142
136	9	2005	153
136	9	2006	194
136	9	2007	234
136	9	2008	295
136	9	2009	380
136	9	2010	514
136	9	2011	653
136	9	2012	789
136	9	2013	736
136	9	2014	659
136	10	2004	9
136	10	2005	17
136	10	2006	20
136	10	2007	36
136	10	2008	40
136	10	2009	39
136	10	2010	48
136	10	2011	58
136	10	2012	116
136	10	2013	89
136	10	2014	103
136	11	2000	1
136	11	2004	11
136	11	2005	17
136	11	2006	23
136	11	2007	26
136	11	2008	41
136	11	2009	41
136	11	2010	37
136	11	2011	56
136	11	2012	76
136	11	2013	68
136	11	2014	62
136	12	2000	1
136	12	2001	4
136	12	2002	4
136	12	2003	6
136	12	2004	814
136	12	2005	934
136	12	2006	1189
136	12	2007	1392
136	12	2008	2175
136	12	2009	2642
136	12	2010	2855
136	12	2011	4346
136	12	2012	5172
136	12	2013	6094
136	12	2014	5331
136	13	2004	13
136	13	2005	19
136	13	2006	27
136	13	2007	36
136	13	2008	40
136	13	2009	83
136	13	2010	69
136	13	2011	137
136	13	2012	160
136	13	2013	167
136	13	2014	152
154	1	2009	1
154	1	2010	2
154	1	2011	2
154	1	2012	1
154	1	2013	1
154	1	2014	1
154	2	2007	2
154	2	2008	1
154	2	2011	1
154	2	2012	1
154	4	2007	1
154	4	2009	2
154	4	2012	2
154	5	2009	1
154	7	2005	1
154	7	2009	1
154	7	2011	1
154	7	2012	1
154	7	2013	1
154	7	2014	1
154	8	2004	4
154	8	2005	8
154	8	2006	8
154	8	2007	5
154	8	2008	13
154	8	2009	26
154	8	2010	15
154	8	2011	13
154	8	2012	29
154	8	2013	25
154	8	2014	25
154	9	2004	2
154	9	2005	1
154	9	2007	2
154	9	2008	1
154	9	2014	3
154	10	2010	1
154	10	2014	1
154	11	2004	1
154	11	2005	2
154	11	2006	2
154	11	2007	4
154	11	2008	2
154	11	2009	2
154	11	2010	3
154	11	2011	1
154	11	2012	3
154	11	2013	1
154	11	2014	2
154	12	2009	1
154	12	2010	1
154	12	2011	1
154	13	2009	1
154	13	2013	1
154	14	2002	1
154	14	2003	1
154	14	2004	22
154	14	2005	34
154	14	2006	36
154	14	2007	29
154	14	2008	30
154	14	2009	37
154	14	2010	32
154	14	2011	34
154	14	2012	40
154	14	2013	38
154	14	2014	47
177	2	2004	1
177	2	2005	1
177	2	2007	4
177	2	2009	4
177	2	2010	1
177	2	2011	1
177	2	2012	4
177	2	2013	3
177	2	2014	3
177	4	2009	1
177	4	2012	1
177	5	2008	1
177	5	2009	1
177	5	2010	4
177	5	2011	8
177	5	2012	2
177	5	2013	2
177	5	2014	2
177	8	2010	1
177	8	2014	2
177	9	2008	3
177	9	2010	1
177	9	2011	3
177	9	2012	1
177	9	2013	3
177	9	2014	2
177	10	2010	1
177	10	2011	2
177	10	2013	1
177	12	2004	1
177	12	2006	1
177	12	2007	2
177	12	2008	4
177	12	2009	2
177	12	2010	3
177	12	2011	2
177	12	2012	4
177	12	2013	4
177	12	2014	1
177	13	2004	1
177	13	2005	8
177	13	2006	4
177	13	2007	6
177	13	2008	2
177	13	2009	5
177	13	2010	8
177	13	2011	12
177	13	2012	17
177	13	2013	15
177	13	2014	8
177	14	2005	1
177	14	2007	4
177	14	2008	1
177	14	2010	1
177	14	2012	1
177	14	2014	1
177	15	2005	1
177	15	2006	2
177	15	2007	2
177	15	2008	2
177	15	2009	1
177	15	2012	2
177	15	2013	3
177	15	2014	1
177	16	2010	1
177	16	2012	1
177	16	2013	2
177	16	2014	2
177	17	2004	7
177	17	2005	4
177	17	2006	5
177	17	2007	13
177	17	2008	12
177	17	2009	17
177	17	2010	19
177	17	2011	16
177	17	2012	26
177	17	2013	19
177	17	2014	10
177	18	2004	1
177	18	2006	5
177	18	2007	2
177	18	2008	1
177	18	2009	1
177	18	2010	3
177	18	2011	2
177	18	2012	2
177	18	2013	2
177	18	2014	6
177	19	2014	1
177	20	2006	1
177	20	2008	2
177	20	2009	4
177	20	2010	2
177	20	2011	1
177	20	2013	1
177	20	2014	1
177	22	2012	1
177	24	2004	5
177	24	2005	7
177	24	2006	10
177	24	2007	10
177	24	2008	9
177	24	2009	2
177	24	2010	6
177	24	2011	9
177	24	2012	15
177	24	2013	6
177	24	2014	8
177	25	2000	1
177	25	2004	24
177	25	2005	32
177	25	2006	29
177	25	2007	26
177	25	2008	26
177	25	2009	38
177	25	2010	30
177	25	2011	34
177	25	2012	40
177	25	2013	47
177	25	2014	41
177	27	2004	1
177	27	2006	1
177	27	2007	2
177	27	2008	3
177	27	2009	2
177	27	2010	2
177	27	2011	5
177	27	2013	5
177	27	2014	4
177	28	2003	1
177	28	2004	5
177	28	2005	10
177	28	2006	7
177	28	2007	6
177	28	2008	14
177	28	2009	15
177	28	2010	13
177	28	2011	20
177	28	2012	21
177	28	2013	30
177	28	2014	21
177	29	2004	1
177	29	2011	1
177	29	2012	2
177	29	2013	5
177	31	2013	1
177	32	2005	1
177	32	2007	1
177	32	2010	1
177	34	2008	1
177	34	2009	4
177	34	2014	2
177	35	2005	1
177	35	2007	1
177	35	2008	1
177	35	2010	1
177	36	2004	15
177	36	2005	16
177	36	2006	18
177	36	2007	26
177	36	2008	16
177	36	2009	12
177	36	2010	25
177	36	2011	22
177	36	2012	33
177	36	2013	17
177	36	2014	30
177	37	2004	3
177	37	2005	1
177	37	2007	1
177	37	2010	1
177	37	2011	2
177	37	2012	1
177	37	2013	1
177	37	2014	4
177	38	2005	1
177	38	2006	1
177	38	2007	1
177	38	2014	1
177	39	2012	1
177	39	2013	3
177	40	2003	1
177	40	2004	32
177	40	2005	28
177	40	2006	30
177	40	2007	79
177	40	2008	85
177	40	2009	91
177	40	2010	97
177	40	2011	125
177	40	2012	122
177	40	2013	149
177	40	2014	128
177	41	2004	4
177	41	2005	5
177	41	2006	7
177	41	2007	7
177	41	2008	6
177	41	2009	6
177	41	2010	4
177	41	2011	14
177	41	2012	9
177	41	2013	6
177	41	2014	12
177	42	2004	2
177	42	2006	1
177	42	2007	3
177	42	2009	1
177	42	2010	2
177	42	2011	7
177	42	2012	7
177	42	2013	5
177	42	2014	3
177	43	2004	8
177	43	2005	13
177	43	2006	9
177	43	2007	8
177	43	2008	10
177	43	2009	6
177	43	2010	10
177	43	2011	15
177	43	2012	6
177	43	2013	22
177	43	2014	12
177	44	2005	3
177	44	2006	3
177	44	2007	2
177	44	2010	1
177	44	2011	5
177	44	2012	5
177	44	2013	1
177	44	2014	4
177	46	2004	25
177	46	2005	24
177	46	2006	20
177	46	2007	18
177	46	2008	19
177	46	2009	21
177	46	2010	10
177	46	2011	11
177	46	2012	14
177	46	2013	21
177	46	2014	21
177	47	2000	4
177	47	2001	1
177	47	2003	3
177	47	2004	220
177	47	2005	276
177	47	2006	286
177	47	2007	299
177	47	2008	385
177	47	2009	436
177	47	2010	464
177	47	2011	543
177	47	2012	562
177	47	2013	605
177	47	2014	532
177	48	2006	1
177	48	2011	2
177	48	2012	1
177	48	2013	2
177	48	2014	2
177	49	2007	2
177	49	2008	3
177	49	2009	2
177	49	2010	3
177	49	2011	8
177	49	2012	2
177	49	2013	11
177	49	2014	6
177	50	2010	2
177	50	2013	1
177	51	2004	5
177	51	2005	5
177	51	2006	3
177	51	2007	7
177	51	2008	7
177	51	2009	6
177	51	2010	7
177	51	2011	6
177	51	2012	7
177	51	2013	8
177	51	2014	8
177	52	2004	8
177	52	2005	10
177	52	2006	7
177	52	2007	3
177	52	2008	6
177	52	2009	4
177	52	2010	5
177	52	2011	11
177	52	2012	5
177	52	2013	9
177	52	2014	3
177	53	2007	1
177	53	2011	1
177	53	2012	1
177	54	2005	1
177	54	2006	1
177	54	2008	1
177	54	2010	3
177	54	2011	1
177	54	2014	3
177	55	2004	6
177	55	2005	5
177	55	2006	3
177	55	2007	9
177	55	2008	7
177	55	2009	5
177	55	2010	4
177	55	2011	4
177	55	2012	7
177	55	2013	5
177	55	2014	7
177	56	2002	1
177	56	2005	1
177	56	2014	1
177	57	2011	1
177	57	2012	1
177	57	2014	1
177	58	2011	1
177	58	2012	1
177	59	2004	3
177	59	2006	2
177	59	2007	1
177	59	2008	3
177	59	2009	1
177	59	2010	4
177	59	2011	3
177	59	2012	7
177	59	2013	5
177	59	2014	4
177	60	2004	2
177	60	2005	2
177	60	2006	1
177	60	2007	2
177	60	2008	2
177	60	2009	2
177	60	2010	3
177	60	2011	3
177	60	2012	5
177	60	2013	2
177	60	2014	2
177	61	2005	1
177	61	2006	2
177	61	2007	1
177	61	2010	7
177	61	2011	1
177	61	2013	1
177	62	2004	1
177	62	2005	1
177	62	2006	1
177	62	2007	1
177	62	2008	2
177	62	2009	1
177	62	2010	3
177	62	2011	3
177	62	2012	1
177	62	2013	3
177	62	2014	2
177	63	2010	1
177	64	2004	1
177	64	2008	1
177	64	2009	1
177	64	2010	1
177	64	2011	1
177	64	2012	1
177	64	2013	2
177	64	2014	2
177	65	2006	1
177	65	2008	1
177	65	2010	1
177	65	2013	1
177	66	2012	1
177	66	2013	2
177	67	2006	1
177	67	2009	1
177	68	2011	1
177	70	2008	1
177	70	2011	1
177	70	2014	1
177	71	2004	1
177	71	2006	1
177	71	2007	2
177	71	2008	2
177	71	2009	1
177	71	2010	3
177	71	2011	1
177	71	2012	2
177	71	2014	2
177	72	2008	1
177	72	2010	3
177	72	2011	2
177	72	2012	2
177	72	2013	1
177	72	2014	2
177	73	2011	1
177	73	2013	1
177	74	2007	1
177	74	2009	1
177	74	2013	1
177	75	2011	3
177	75	2012	2
177	75	2013	2
177	75	2014	1
177	77	2006	2
177	77	2007	1
177	77	2008	2
177	77	2009	2
177	77	2010	2
177	77	2011	4
177	77	2014	2
177	78	2011	3
177	78	2012	1
177	78	2014	1
177	79	2005	1
177	79	2006	1
177	79	2010	1
177	79	2011	2
177	79	2013	1
177	79	2014	1
177	80	2009	1
177	80	2010	2
177	80	2013	1
177	80	2014	3
177	81	2004	1
177	81	2005	3
177	81	2006	6
177	81	2007	2
177	81	2008	2
177	81	2009	1
177	81	2010	6
177	81	2011	4
177	81	2012	11
177	81	2013	6
177	81	2014	8
177	82	2000	1
177	82	2004	4
177	82	2005	9
177	82	2006	10
177	82	2007	4
177	82	2008	9
177	82	2009	8
177	82	2010	7
177	82	2011	5
177	82	2012	3
177	82	2013	8
177	82	2014	9
203	0	1997	1
203	0	1998	1
203	0	2000	4
203	0	2001	1
203	0	2002	6
203	0	2003	17
203	0	2004	3052
203	0	2005	3147
203	0	2006	3356
203	0	2007	3540
203	0	2008	3653
203	0	2009	3995
203	0	2010	4223
203	0	2011	4517
203	0	2012	5147
203	0	2013	5568
203	0	2014	4557
226	1	2005	1
226	1	2011	1
226	2	2010	1
226	3	1999	1
226	3	2000	224
226	3	2001	214
226	3	2002	298
226	3	2003	357
226	3	2004	1128
226	3	2005	1304
226	3	2006	1726
226	3	2007	1930
226	3	2008	2349
226	3	2009	2501
226	3	2010	2576
226	3	2011	2729
226	3	2012	3067
226	3	2013	3327
226	3	2014	2729
226	4	2006	2
226	4	2008	3
226	4	2009	2
226	4	2010	1
226	4	2011	3
226	4	2012	4
226	4	2013	6
226	4	2014	8
226	5	2002	1
226	5	2004	4
226	5	2006	2
226	5	2007	2
226	5	2008	8
226	5	2009	4
226	5	2010	6
226	5	2011	7
226	5	2012	5
226	5	2013	23
226	5	2014	6
226	6	2009	1
226	6	2011	3
226	6	2013	1
226	7	2005	1
226	7	2006	1
226	7	2007	1
226	7	2008	2
226	7	2009	2
226	7	2010	1
226	7	2012	1
226	7	2013	2
226	8	2004	3
226	8	2005	4
226	8	2006	6
226	8	2007	5
226	8	2008	7
226	8	2009	4
226	8	2010	8
226	8	2011	10
226	8	2012	10
226	8	2013	7
226	8	2014	9
226	9	2000	22
226	9	2001	24
226	9	2002	24
226	9	2003	43
226	9	2004	126
226	9	2005	158
226	9	2006	199
226	9	2007	233
226	9	2008	279
226	9	2009	333
226	9	2010	358
226	9	2011	408
226	9	2012	460
226	9	2013	411
226	9	2014	365
226	10	2000	2
226	10	2002	2
226	10	2004	4
226	10	2005	5
226	10	2006	4
226	10	2007	3
226	10	2008	12
226	10	2009	13
226	10	2010	8
226	10	2011	15
226	10	2012	15
226	10	2013	18
226	10	2014	16
226	11	2000	1
226	11	2001	2
226	11	2002	6
226	11	2003	6
226	11	2004	40
226	11	2005	34
226	11	2006	29
226	11	2007	46
226	11	2008	63
226	11	2009	58
226	11	2010	62
226	11	2011	65
226	11	2012	92
226	11	2013	104
226	11	2014	94
226	12	2000	1
226	12	2006	2
226	12	2007	2
226	12	2008	7
226	12	2009	7
226	12	2010	6
226	12	2011	3
226	12	2012	3
226	12	2013	7
226	12	2014	7
226	13	2004	1
226	13	2007	1
226	13	2008	2
226	13	2009	4
226	13	2010	1
226	13	2011	5
226	13	2012	3
226	13	2013	6
226	13	2014	6
226	14	2000	1
226	14	2003	1
226	14	2005	2
226	14	2012	1
226	14	2013	1
226	15	2001	1
226	15	2002	2
226	15	2004	4
226	15	2005	3
226	15	2006	6
226	15	2007	7
226	15	2008	9
226	15	2009	7
226	15	2010	10
226	15	2011	10
226	15	2012	12
226	15	2013	23
226	15	2014	17
226	16	2000	9
226	16	2001	25
226	16	2002	30
226	16	2003	26
226	16	2004	76
226	16	2005	100
226	16	2006	130
226	16	2007	157
226	16	2008	217
226	16	2009	266
226	16	2010	259
226	16	2011	290
226	16	2012	496
226	16	2013	467
226	16	2014	451
226	17	2004	1
226	17	2006	1
226	17	2009	2
226	17	2013	1
226	17	2014	1
226	18	2000	2
226	18	2001	1
226	18	2002	1
226	18	2004	4
226	18	2005	7
226	18	2006	6
226	18	2007	6
226	18	2008	14
226	18	2009	10
226	18	2010	19
226	18	2011	14
226	18	2012	17
226	18	2013	24
226	18	2014	34
226	19	2006	3
226	19	2007	1
226	19	2008	2
226	19	2009	5
226	19	2010	3
226	19	2011	5
226	19	2012	5
226	19	2013	3
226	19	2014	2
226	20	2004	1
226	20	2005	4
226	20	2006	1
226	20	2007	2
226	20	2008	5
226	20	2009	10
226	20	2010	7
226	20	2011	3
226	20	2012	3
226	20	2013	5
226	20	2014	5
226	21	2000	1
226	21	2004	1
226	21	2007	4
226	21	2008	2
226	21	2009	5
226	21	2011	3
226	21	2012	7
226	21	2013	12
226	21	2014	6
226	22	2012	1
226	23	2004	2
226	23	2005	4
226	23	2006	4
226	23	2007	10
226	23	2008	11
226	23	2009	51
226	23	2010	58
226	23	2011	73
226	23	2012	78
226	23	2013	123
226	23	2014	83
226	24	2011	1
226	25	2002	1
226	25	2004	5
226	25	2005	7
226	25	2006	15
226	25	2007	9
226	25	2008	16
226	25	2009	22
226	25	2010	16
226	25	2011	21
226	25	2012	21
226	25	2013	32
226	25	2014	21
226	26	2000	8
226	26	2001	4
226	26	2002	13
226	26	2003	27
226	26	2004	86
226	26	2005	100
226	26	2006	101
226	26	2007	128
226	26	2008	208
226	26	2009	255
226	26	2010	214
226	26	2011	236
226	26	2012	272
226	26	2013	308
226	26	2014	231
226	27	2005	1
226	27	2007	1
226	27	2008	3
226	27	2009	1
226	27	2010	1
226	27	2012	4
226	27	2013	11
226	27	2014	7
226	28	2000	6
226	28	2001	6
226	28	2002	4
226	28	2003	12
226	28	2004	35
226	28	2005	39
226	28	2006	33
226	28	2007	60
226	28	2008	76
226	28	2009	81
226	28	2010	112
226	28	2011	108
226	28	2012	125
226	28	2013	162
226	28	2014	127
226	29	2006	1
226	29	2007	1
226	29	2008	2
226	29	2009	1
226	29	2010	8
226	29	2011	6
226	29	2012	9
226	29	2013	15
226	29	2014	9
226	30	2000	3
226	30	2001	1
226	30	2004	4
226	30	2005	8
226	30	2006	10
226	30	2007	11
226	30	2008	10
226	30	2009	11
226	30	2010	22
226	30	2011	23
226	30	2012	17
226	30	2013	31
226	30	2014	32
226	31	2005	1
226	31	2006	1
226	31	2007	2
226	31	2008	2
226	31	2010	4
226	31	2011	4
226	31	2012	4
226	31	2013	2
226	31	2014	5
226	32	2004	1
226	32	2005	1
226	32	2006	1
226	32	2007	3
226	32	2008	3
226	32	2009	3
226	32	2010	3
226	32	2011	1
226	32	2012	3
226	32	2013	4
226	32	2014	2
226	33	2012	1
226	34	2004	1
226	34	2008	2
226	34	2009	1
226	34	2010	3
226	34	2011	2
226	34	2012	1
226	34	2013	7
226	34	2014	7
226	35	2000	3
226	35	2001	3
226	35	2002	6
226	35	2003	8
226	35	2004	46
226	35	2005	54
226	35	2006	54
226	35	2007	79
226	35	2008	90
226	35	2009	127
226	35	2010	135
226	35	2011	115
226	35	2012	164
226	35	2013	129
226	35	2014	123
226	36	2000	18
226	36	2001	16
226	36	2002	28
226	36	2003	44
226	36	2004	196
226	36	2005	208
226	36	2006	268
226	36	2007	309
226	36	2008	415
226	36	2009	428
226	36	2010	404
226	36	2011	514
226	36	2012	476
226	36	2013	598
226	36	2014	564
226	37	2001	1
226	37	2003	1
226	37	2004	6
226	37	2005	1
226	37	2006	4
226	37	2007	6
226	37	2008	19
226	37	2009	13
226	37	2010	17
226	37	2011	12
226	37	2012	36
226	37	2013	18
226	37	2014	26
226	38	2005	1
226	38	2006	2
226	38	2007	1
226	38	2008	1
226	38	2009	1
226	38	2010	1
226	40	2005	1
226	40	2007	1
226	40	2008	3
226	40	2009	6
226	40	2010	16
226	40	2011	16
226	40	2012	20
226	40	2013	27
226	40	2014	16
226	41	2004	1
226	41	2006	5
226	41	2007	7
226	41	2008	9
226	41	2009	28
226	41	2010	31
226	41	2011	30
226	41	2012	38
226	41	2013	49
